Nr.,VBB-Name,GKZ,lon,lat,GK4-X,GK4-Y
9057153,Gustav-Müller-Platz,Berlin,13.361442,52.483550,4592591,5817579
9220074,Gustl-Sandtner-Str.,Teltow,13.281490,52.395299,4587334,5807660
9175500,Gutenbergstr.,Berlin,13.583698,52.514997,4607612,5821386
9030151,Güterbahnhof Ruhleben,Berlin,13.221653,52.528673,4583010,5822430
9039101,Gutsstr.,Berlin,13.120966,52.474939,4576270,5816340
9230229,Gutsstr.,Potsdam,13.007423,52.424196,4568634,5810580
9049351,Gutzmannstr.,Berlin,13.249968,52.420954,4585139,5810477
9134511,Guyotstr.,Berlin,13.417080,52.605464,4596104,5831217
9210644,Gymnasium,Dallgow-Döberitz,13.044376,52.543277,4570956,5823866
9210148,H.-Zille-Str.,Falkensee,13.033547,52.560411,4570194,5825762
9080462,Haarlemer Str.,Berlin,13.455491,52.453113,4599048,5814317
9018151,Habermannzeile,Berlin,13.291279,52.539671,4587713,5823736
9100536,Habersaathstr.,Berlin,13.379907,52.533044,4593740,5823110
9077157,Haberstr.,Berlin,13.461137,52.462363,4599411,5815354
9038202,Habichtswald,Berlin,13.142531,52.479604,4577727,5816882
9130005,Hadlichstr.,Berlin,13.414365,52.568856,4596000,5827140
9171503,Hadubrandstr.,Berlin,13.559706,52.479411,4606069,5817391
9194012,Haeckelstr.,Berlin,13.505995,52.441102,4602509,5813051
9220108,Haeckelstr.,Kleinmachnow,13.238241,52.409025,4584364,5809136
9083254,Hafenstr.,Berlin,13.506749,52.426550,4602594,5811433
9152507,Hagenower Ring,Berlin,13.505232,52.575581,4602145,5828013
9048107,Hagenplatz,Berlin,13.265912,52.483317,4586102,5817435
9143507,Hagenstr.,Berlin,13.475536,52.611580,4600050,5831977
9037203,Hahneberg,Berlin,13.146631,52.523475,4577928,5821768
9061153,Hähnelstr.,Berlin,13.340206,52.475533,4591165,5816660
9053206,Hahn-Meitner-Platz,Berlin,13.133319,52.411552,4577220,5809300
9092202,Hainbuchenstr.,Berlin,13.274816,52.634250,4586410,5834240
9220132,Hakeburg,Kleinmachnow,13.226385,52.400665,4583573,5808192
9071171,Halbauer Weg,Berlin,13.361991,52.434590,4592731,5812132
